split,patch_id,median_height,valid_pixels
train,zone2_04048,5.0,1597
train,zone1_00892,3.0,72989
train,zone2_04089,4.0,14567
train,zone2_04175,2.0,17981
train,zone1_00224,2.0,70732
train,zone2_04039,8.0,26408
train,zone1_00758,3.0,12638
train,zone1_02177,6.0,10172
train,zone2_01427,3.0,4575
train,zone2_03469,4.0,41252
train,zone1_00967,2.0,11812
train,zone2_00748,8.0,1027
train,zone2_03606,4.0,131657
train,zone1_01689,3.0,19474
train,zone1_02272,1.0,737
train,zone1_00085,3.0,3873
train,zone1_02431,2.0,2409
train,zone2_05010,5.0,15214
train,zone2_04848,3.0,2153
train,zone1_01406,3.0,5521
train,zone2_04053,3.0,9589
train,zone2_00858,3.0,17249
train,zone2_03288,3.0,17846
train,zone2_00735,3.0,11263
train,zone1_00041,8.0,1564
train,zone2_00194,2.0,842
train,zone2_04303,4.0,17358
train,zone2_00945,3.0,19665
train,zone2_00695,4.0,57112
train,zone2_01164,3.0,2696
train,zone1_00903,8.0,53752
train,zone2_00697,2.0,127
train,zone2_02138,2.0,877
train,zone2_00700,3.0,170
train,zone2_05287,8.0,1387
train,zone2_01632,2.0,232
train,zone1_00061,3.0,22306
train,zone2_03755,2.0,738
train,zone2_01425,3.0,51821
train,zone2_03804,2.0,1121
train,zone1_02039,3.0,9611
train,zone2_00759,3.0,3273
train,zone2_01852,3.0,19148
train,zone1_00995,8.0,68722
train,zone1_00352,1.0,1727
train,zone2_05119,4.0,2818
train,zone2_02608,3.0,22568
train,zone2_03607,4.0,137509
train,zone2_04695,4.0,3119
train,zone2_00109,3.0,101
train,zone2_01555,3.0,1329
train,zone2_00394,3.0,1173
train,zone2_05283,2.0,315
train,zone2_02012,3.0,1194
train,zone1_01458,2.0,6303
train,zone1_00500,3.0,1733
train,zone1_01780,14.0,26221
train,zone2_01689,9.0,4774
train,zone2_00301,4.0,34389
train,zone1_01444,8.0,709
train,zone1_01756,8.0,13490
train,zone2_00662,3.0,12455
train,zone1_02143,7.0,13561
train,zone2_04470,3.0,3646
train,zone1_01397,3.0,11917
train,zone2_01284,2.0,7106
train,zone2_03151,4.0,5545
train,zone2_03982,4.0,7329
train,zone2_04625,8.0,352
train,zone2_03094,4.0,3380
train,zone2_01469,3.0,42116
train,zone2_01089,4.0,1203
train,zone1_01188,8.0,16857
train,zone2_04734,2.0,260
train,zone1_00333,2.0,122613
train,zone1_01668,4.0,28848
train,zone2_01881,3.0,22155
train,zone2_05055,2.0,1242
train,zone2_04123,3.0,12830
train,zone1_00173,3.0,5349
train,zone2_00290,3.0,1515
train,zone2_00870,3.0,63728
train,zone1_01643,6.0,33158
train,zone2_02280,12.0,25070
train,zone2_01457,4.0,19702
train,zone1_02062,2.0,1172
train,zone2_05254,15.0,40854
train,zone2_00664,3.0,9027
train,zone1_02130,2.0,22761
train,zone2_03979,3.0,78452
train,zone2_04755,15.0,25466
train,zone1_00271,3.0,9866
train,zone2_05264,4.0,58278
train,zone2_03411,2.0,290
train,zone2_03292,4.0,7927
train,zone1_01075,2.0,40473
train,zone2_05330,3.0,32524
train,zone2_04305,2.0,2189
train,zone2_03285,3.0,4461
train,zone2_02324,3.0,30073
train,zone1_02085,7.0,6948
train,zone2_03798,5.0,3660
train,zone2_04101,4.0,1086
train,zone1_01443,8.0,349
train,zone2_03948,8.0,400
train,zone1_01387,8.0,5888
train,zone1_01821,14.0,57172
train,zone1_00234,3.0,4463
train,zone2_03240,4.0,10222
train,zone2_04159,5.0,15298
train,zone2_00565,3.0,3480
train,zone1_01339,6.0,7551
train,zone1_00113,4.0,10144
train,zone2_04534,2.0,1099
train,zone2_04663,3.0,40876
train,zone2_00654,3.0,3640
train,zone1_00983,4.0,9475
train,zone2_02259,5.0,12227
train,zone2_02854,6.0,20576
train,zone2_03206,14.0,2078
train,zone1_00722,2.0,104660
train,zone2_00252,2.0,174
train,zone2_02819,8.0,10307
train,zone1_01238,8.0,36460
train,zone1_00404,3.0,1300
train,zone2_02570,4.0,1758
train,zone2_00439,2.0,26951
train,zone2_03820,3.0,3489
train,zone2_01510,3.0,3005
train,zone1_01856,3.0,5141
train,zone1_02054,3.0,4824
train,zone2_03241,4.0,13541
train,zone2_03657,4.0,99184
train,zone2_02539,4.0,29408
train,zone1_00930,4.0,20609
train,zone2_03282,5.0,124088
train,zone1_01502,15.0,119845
train,zone2_02547,3.0,12968
train,zone2_04273,4.0,91811
train,zone1_00099,7.0,48900
train,zone1_01771,3.0,9225
train,zone2_00032,3.0,27257
train,zone1_01865,15.0,86173
train,zone2_04189,2.0,459
train,zone2_02685,5.0,14234
train,zone2_01162,3.0,10485
train,zone1_00102,14.0,2121
train,zone2_05236,3.0,151
train,zone1_00412,2.0,1885
train,zone2_03814,3.0,7685
train,zone1_01581,13.0,58005
train,zone2_03345,8.0,541
train,zone1_00314,5.0,20165
train,zone1_01281,2.0,424
train,zone2_05095,6.0,13010
train,zone2_04389,3.0,18386
train,zone1_00957,8.0,39180
train,zone2_03792,2.0,2373
train,zone2_05345,3.0,2338
train,zone2_01641,2.0,4302
train,zone2_03558,5.0,34387
train,zone2_00029,3.0,6715
train,zone2_03392,3.0,11308
train,zone1_01225,8.0,11092
train,zone1_01315,8.0,925
train,zone2_04377,8.0,9158
train,zone2_02859,4.0,43897
train,zone2_03885,3.0,36794
train,zone2_02622,3.0,28240
train,zone2_01214,18.0,59116
train,zone2_01003,3.0,283
